geom,idespacio,nombre_del_espacio,longitude,latitude,tipo_de_cineclub,el_espacio_de_exhibicion_depende_de,ano_de_apertura,objetivo,frecuencia_de_exhibicion,tipo_de_poblacion,facebook,instagram,otra,estatus
POINT(-99.1862279 19.34839),102,Alianza francesa - San Ángel,"-99,1862279","19,34839",Presencial en un lugar fijo,Otros Gobiernos,2015,Promover el cine,Semanalmente,Comunidades específicas,https://www.facebook.com/Cine-Club-San-Ángel-192486671198892/,Sin información,Sin información,Activo
POINT(-99.1318912473493 19.4354920838676),343,Argentina 8mm,"-99,13189125","19,43549208",Mixto,Dependencia del Gobierno de la CDMX,2022,Garantizar el ejercicio de los derechos culturales,Semanalmente,Para todo público,instagram.com/autoridad_centrohistorico,Sin información,Sin información,Activo
POINT(-99.1438605426153 19.429856198866),138,Artesanas Colectiva                     (Punto Gozadera),"-99,14386054","19,4298562",Presencial en un lugar fijo,Independiente,2020,Formar comunidad por medio del cine,Sin información,Para todo público,https://www.facebook.com/arteSanascolectiva/,Sin información,Sin información,Activo
POINT(-98.9966946 19.2695542),231,"Biblioteca ""José Martí""","-98,9966946","19,2695542",Presencial en un lugar fijo,Alcaldía,2019,Sin información,Dos veces por semana,Para todo público,Sin información,Sin información,Sin información,Activo
POINT(-99.0512242 19.2909083),246,Biblioteca Agrícola Metropolitana,"-99,0512242","19,2909083",Sin información,Alcaldía,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Activo
POINT(-99.1916238 19.5082611),253,Biblioteca Pública Jorge Alberto Menrique,"-99,1916238","19,5082611",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/profile.php?id=100083080882764,Sin información,https://sic.cultura.gob.mx/ficha.php?table=rnbp&table_id=81065,Activo
POINT(-99.1507955 19.447369),137,Biblioteca Vasconcelos,"-99,1507955","19,447369",Presencial en un lugar fijo,Dependencia de Gobierno Federal,Sin información,Promover el cine,Dos veces por semana,Para todo público,https://www.facebook.com/bibliotecavasconcelos.buenavista,Sin información,Sin información,Activo
POINT(-99.2038637825712 19.4050883302988),319,"CENTRO (Centro de diseño,cine y televisión)","-99,20386378","19,40508833",Presencial en un lugar fijo,Institución educativa privada,Sin información,Sin información,Sin información,Estudiantes,https://www.facebook.com/centro.edu.mx,Sin información,https://centro.edu.mx/,Activo
POINT(-99.14809170132 19.3396821802818),88,CENTRO CULTURAL REAL UNDER / CINEMAUNDER,"-99,1480917","19,33968218",Presencial en un lugar fijo,Independiente,2021,Formar públicos cinematográficos,Semanalmente,Sin información,Sin información,https://www.instagram.com/therealunder/?hl=es,Sin información,Activo
POINT(-99.1013282 19.4873148135201),67,CERES-CINE CLUB ,"-99,1013282","19,48731481",Presencial en un lugar fijo,Comunitario,2000,Formar comunidad por medio del cine,Fines de semana,Para todo público,https://www.facebook.com/alternativasculturalesydesustentabilidad/,Sin información,Sin información,Activo
POINT(-99.0498364338605 19.3108412863648),68,CINE CLUB Cine Vagabundo ,"-99,04983643","19,31084129",Mixto,Comunitario,2015,Promover el cine,Quincenalmente,Para todo público,https://www.facebook.com/people/Cinema-Vagabundo/100064822413152/,Sin información,Sin información,Activo
POINT(-99.1033650536789 19.4474653860858),8,CINE CLUB UNDERCITY,"-99,10336505","19,44746539",Mixto,Comunitario,2010,Garantizar el ejercicio de los derechos culturales,Quincenalmente,Para todo público,https://www.facebook.com/colectivo.semilleros,Sin información,http://colectivoculturalsemilleros.blogspot.com,Activo
POINT(-99.1982025700997 19.4531819026738),349,CINE CON-SENTIDO,"-99,19820257","19,4531819",Presencial en un lugar fijo,Independiente,2020,Garantizar el ejercicio de los derechos culturales,Quincenal,Adultos mayores,https://www.facebook.com/piel.dejaguar.5,Sin información,Sin información,Activo
POINT(-99.1384575608407 19.4580294229059),101,CINECLUB Barrio Warrior Colectivo A.C.,"-99,13845756","19,45802942",Presencial en un lugar fijo,Independiente,2022,Promover el cine,Trimestralmente,Comunidades específicas,https://www.facebook.com/BWColectivo,https://www.instagram.com/BWColectivo/?fbclid=IwAR0xUwdLbzpW__gHLjmNWCKn_wkZQKPhIdRPTfcoRdshbKtm8UFQgmAddFA,Sin información,Activo
POINT(-99.1095124643844 19.318648),42,CINECLUB CULHUACÁN,"-99,10951246","19,318648",Presencial en un lugar fijo,Comunitario,2014,Formar comunidad por medio del cine,Fines de semana,Para todo público,https://www.facebook.com/SendecomuniempAC/,Sin información,Sin información,Activo
POINT(-99.1479996935196 19.4495972405689),150,Campamentos Unidos (Sede Zaragoza),"-99,14799969","19,44959724",Presencial en un lugar fijo,Comunitario,2015,Formar públicos cinematográficos,Mensualmente,Para todo público,Sin información,Sin información,Sin información,Activo
POINT(-99.1458963 19.4424262),149,Campamentos Unidos (Sede Zarco),"-99,1458963","19,4424262",Presencial en un lugar fijo,Comunitario,2015,Formar públicos cinematográficos,Mensualmente,Para todo público,Sin información,Sin información,Sin información,Activo
POINT(-99.159064 19.4145754),141,Casa Chicha,"-99,159064","19,4145754",Presencial en un lugar fijo,Independiente,Sin información,Sin información,Semanalmente,Sin información,https://www.facebook.com/profile.php?id=100069104183723,Sin información,Sin información,Activo
POINT(-99.1599611189231 19.4508303470259),39,Casa Gallina AC. ,"-99,15996112","19,45083035",Presencial en un lugar fijo,Comunitario,2015,Formar comunidad por medio del cine,Quincenalmente,Para todo público,https://www.facebook.com/casa.gallina,https://www.instagram.com/casa_gallina/?hl=es,https://casagallina.org.mx/,Activo
POINT(-99.1359752456869 19.4364538381816),144,Casa Manu Centro Humanista,"-99,13597525","19,43645384",Presencial en un lugar fijo,Independiente,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/casamanucdmx,Sin información,Sin información,Activo
POINT(-99.1393411 19.3831238),258,Casa Museo Cineclub Villeda,"-99,1393411","19,3831238",Presencial en un lugar fijo,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Activo
POINT(-99.1716566 19.4092044),145,Casa Refugio Citlatépetl,"-99,1716566","19,4092044",Presencial en un lugar fijo,Dependencia del Gobierno de la CDMX,Sin información,Sin información,Semanalmente,Sin información,https://www.facebook.com/casarefugio.citlaltepetl,Sin información,https://www.facebook.com/CRCitlaltepetl/?locale=es_LA,Activo
POINT(-99.0477456761899 19.2580831516597),90,Casa ciclista Xochimilco ,"-99,04774568","19,25808315",Mixto,Independiente,2017,Formar comunidad por medio del cine,Sin temporalidad fija,Para todo público,https://www.facebook.com/casadelciclistamexico?mibextid=ZbWKwL,https://www.instagram.com/casaciclistaxochimilco/?igshid=MzRlODBiNWFlZA%3D%3D,Sin información,Activo
POINT(-99.1148506 19.3938582),198,"Casa de Cultura ""Centro de Artes y Oficios""","-99,1148506","19,3938582",Presencial en un lugar fijo,Alcaldía,Sin información,Promover el cine,Semanalmente,Para todo público,Sin información,Sin información,http://www.iztacalco.cdmx.gob.mx/inicio/,Activo
POINT(-99.1143072962847 19.4829236967614),69,"Casa de Cultura ""La Villa""","-99,1143073","19,4829237",Mixto,Alcaldía,2018,Promover el cine,Tres veces por semana,Para todo público,https://www.facebook.com/CasaDeCulturaLaVilla,Sin información,Sin información,Activo
POINT(-99.1025554 19.3229416),248,"Casa de Cultura ""Ricardo Flores Magón""","-99,1025554","19,3229416",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/profile.php?id=100084754045871,Sin información,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=1190,Activo
POINT(-99.0310684 19.1980852),321,Casa de Cultura Calmecac,"-99,0310684","19,1980852",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Para todo público,Sin información,Sin información,Sin información,Activo
POINT(-99.1416935 19.3174167),247,Casa de Cultura El Reloj (Ahora PILARES),"-99,1416935","19,3174167",Presencial en un lugar fijo,Dependencia del Gobierno de la CDMX,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/reloj.casadecultura,Sin información,https://www.facebook.com/profile.php?id=100068220138708,Activo
POINT(-99.1195113091654 19.3718517470801),75,Casa de Cultura El Sifón,"-99,11951131","19,37185175",Presencial en un lugar fijo,Independiente,2019,Promover el cine,Semanalmente,Para todo público,https://www.facebook.com/profile.php?id=100090359171795&mibextid=ZbWKwL,https://instagram.com/cineclubproyectarte?igshid=ZDdkNTZiNTM=,tiktok.com/@cineclubproyectarte,Activo
POINT(-99.0145018306073 19.291157914129),228,Casa de Cultura Frida Kahlo,"-99,01450183","19,29115791",Presencial en un lugar fijo,Alcaldía,2019,Garantizar el ejercicio de los derechos culturales,Dos veces por semana,Para todo público,https://www.facebook.com/profile.php?id=100079743931931,Sin información,Sin información,Activo
POINT(-99.0939156 19.3589067),260,Casa de Cultura Fuego Nuevo ,"-99,0939156","19,3589067",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,https://sic.cultura.gob.mx/ficha.php?table=centro_cultural&table_id=1065,Activo
POINT(-99.0313193 19.3375514),200,Casa de Cultura Imaginarte,"-99,0313193","19,3375514",Presencial en un lugar fijo,Independiente,Sin información,Sin información,Semanalmente,Para todo público,https://www.facebook.com/casaculturaimaginarte,Sin información,Sin información,Activo
POINT(-99.170671 19.3493223),245,Casa de Cultura Jesus Reyes Heroles,"-99,170671","19,3493223",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,https://sic.cultura.gob.mx/ficha.php?table=centro_cultural&table_id=1435,Activo
POINT(-99.0577530490241 19.2946073317278),225,Casa de Cultura Juan Manuel Martínez,"-99,05775305","19,29460733",Presencial en un lugar fijo,Alcaldía,2019,Garantizar el ejercicio de los derechos culturales,Dos veces por semana,Para todo público,Sin información,Sin información,Sin información,Activo
POINT(-99.1501601 19.3229872),249,Casa de Cultura Raúl Anguiano ,"-99,1501601","19,3229872",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/profile.php?id=100090070251376,Sin información,https://sic.cultura.gob.mx/ficha.php?table=centro_cultural&table_id=1162,Activo
POINT(-99.1698219 19.3145457),262,"Casa de Las Mujeres ""Ifigenia Martínez"" ","-99,1698219","19,3145457",Sin información,Alcaldía,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/coyoacan.alcaldia,Activo
POINT(-99.1677896 19.2862316),237,Casa de la Cultura de la UAEM en Tlalpan,"-99,1677896","19,2862316",Mixto,Institución educativa pública,Sin información,Sin información,Sin información,Universitarios,https://www.facebook.com/CCTUAEMex,Sin información,Sin información,Activo
POINT(-99.1308225203652 19.4339274795682),92,Casa de la Primera Imprenta de América ,"-99,13082252","19,43392748",Presencial en un lugar fijo,Institución educativa pública,2015,Promover el cine,Semanalmente,Para todo público,https://www.facebook.com/casaprimeraimprenta,https://www.instagram.com/casadelaprimeraimprenta/,Sin información,Activo
POINT(-99.0901200473556 19.1911281299955),83,Casa de las Artes Cuauhtenco,"-99,09012005","19,19112813",Presencial en un lugar fijo,Comunitario,2016,Formar públicos cinematográficos,Sin temporalidad fija,Para todo público,www.facebook.com/Casa.de.las.Artes.Cuauhtenco,Sin información,Sin información,Activo
POINT(-99.1371869 19.3335758),250,Casa de las Letras ,"-99,1371869","19,3335758",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/casadelasletrasculturacoyoacan,Sin información,Sin información,Activo
POINT(-99.1530214 19.3381567),251,Casa de los Pueblos Originarios DR. Miguel León Portilla,"-99,1530214","19,3381567",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/profile.php?id=100083310454140,Sin información,https://sic.cultura.gob.mx/ficha.php?table=centro_cultural&table_id=2829,Activo
POINT(-99.1308043 19.4383784),266,Casa del Hijo del Ahuizote,"-99,1308043","19,4383784",Presencial en un lugar fijo,Comunitario,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/casadelahuizote,https://www.instagram.com/casadelahuizote/,Sin información,Activo
POINT(-99.1858169 19.4223588),210,Casa del Lago,"-99,1858169","19,4223588",Presencial en un lugar fijo,Institución educativa pública,Sin información,Sin información,Semanalmente,Sin información,https://www.facebook.com/CasadellagoUNAM/,Sin información,Sin información,Activo
POINT(-99.0231781050276 19.1904268351415),357,Casona,"-99,02317811","19,19042684",Presencial en un lugar fijo,Alcaldía,2023,Garantizar el ejercicio de los derechos culturales,Una vez por semana,Para todo público,https://web.facebook.com/profile.php?id=61550601382725,Sin información,Sin información,Activo
POINT(-98.9966755124312 19.3421155439224),334,Centro Comunitario,"-98,99667551","19,34211554",Mixto,Comunitario,2017,Garantizar el ejercicio de los derechos culturales,Tres veces por semana,Para todo público,https://www.facebook.com/lasabanadefilmes,Sin información,Sin información,Activo
POINT(-99.1764571 19.2692994),257,Centro Comunitario Los Volcanes,"-99,1764571","19,2692994",Presencial en un lugar fijo,Institución educativa pública,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/profile.php?id=100076491184085,Sin información,Sin información,Activo
POINT(-99.2168835 19.2059986),235,Centro ComunitarioAhuayoto,"-99,2168835","19,2059986",Presencial en un lugar fijo,Comunitario,2005,Formar comunidad por medio del cine,Sin temporalidad fija,Para todo público,https://www.facebook.com/centrocomunitariohuayoto/,Sin información,Sin información,Activo
POINT(-99.1942305597868 19.2868240263767),79,Centro Cultural  y Laboratorio ,"-99,19423056","19,28682403",Mixto,Independiente,2023,Formar comunidad por medio del cine,Fines de semana,Para todo público,https://www.facebook.com/colectivoeltren?hc_ref=ARTvB-6ldxWf-9WfLYys8nbYxamQQmX2E7tjekKn7Ebv4gThSDw2Dp4CuSJdUXtbtfI&fref=nf&__xts__[0]=68.ARBK3FUgHQWnRbZOgQ-ElCgIUNc-YzZvvSnPfStJFfFJBNfOCdCXrkI-0EocaIdJOrF_EHbo4GgqGOu9sj2VeZIP70RhSwNS1p-Qya6PEKhOb0oFwW8fekqUWs43X0d6PKu9A3oO44psE33rIRKvCpXfQvVlY_s25TZwTq8n5wAwNuI8S6fCjr2prdpw9i8hCbYOzna1JQ979_MJaqG7a4ue9zYwWsGo14tphwcPx-LSd2me4zPGY8pHvqQjovNO_RXh5jpo_0s5Wo71DYnvz825SNLP0J75sfi4KbsWUlSIj9ZnOsY,Sin información,Sin información,Activo
POINT(-99.1913236 19.4327609),208,Centro Cultural Brasil en México,"-99,1913236","19,4327609",Presencial en un lugar fijo,Otros Gobiernos,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/igrmexico/?locale=es_LA,Sin información,Sin información,Activo
POINT(-99.1147438788019 19.4194045692481),259,Centro Cultural Carranza,"-99,11474388","19,41940457",Presencial en un lugar fijo,Sin información,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/CentroCulturalCarranza,Sin información,https://sic.cultura.gob.mx/ficha.php?table=centro_cultural&table_id=954,Activo
POINT(-99.1586304 19.348587),127,Centro Cultural Elena Garro,"-99,1586304","19,348587",Sin información,Dependencia de Gobierno Federal,Sin información,Sin información,Sin información,Comunidades específicas,Sin información,Sin información,Sin información,Activo
POINT(-99.1898900473505 19.3859392548323),71,Centro Cultural La Pirámide ,"-99,18989005","19,38593925",Presencial en un lugar fijo,Dependencia del Gobierno de la CDMX,2020,Promover el cine,Otro,Para todo público,https://www.facebook.com/centroculturallapiramide/?locale=es_LA,https://www.instagram.com/centroculturallapiramide/,https://sic.cultura.gob.mx/ficha.php?table=centro_cultural&table_id=1226,Activo
POINT(-99.2115325 19.4969147),23,Centro Cultural Xitle ,"-99,2115325","19,4969147",Presencial en un lugar fijo,Independiente,2015,Formar comunidad por medio del cine,Sin temporalidad fija,Para todo público,https://www.facebook.com/centroculturalxitle/?locale=es_LA,https://www.instagram.com/xitle.ac/,https://sic.cultura.gob.mx/ficha.php?table=centro_cultural&table_id=3112,Activo
POINT(-99.0366803247993 19.3005390730201),230,Centro Cultural Zapotitlán,"-99,03668032","19,30053907",Presencial en un lugar fijo,Alcaldía,2019,Garantizar el ejercicio de los derechos culturales,Quincenalmente,Para todo público,https://www.facebook.com/profile.php?id=100063737116456,Sin información,Sin información,Activo
POINT(-99.1330071 19.4352452),139,Centro Cultural de España en México,"-99,1330071","19,4352452",Presencial en un lugar fijo,Otros Gobiernos,Sin información,Promover el cine,Semanalmente,Para todo público,https://www.facebook.com/ccemx.org/,https://www.instagram.com/ccemx_/,https://ccemx.org/,Activo
POINT(-99.1340288203651 19.4390616061438),54,Centro Cultural del México Contemporáneo,"-99,13402882","19,43906161",Presencial en un lugar fijo,"Organismo nacional (estado de la República Mexicana, Representación)",2005,Garantizar el ejercicio de los derechos culturales,Dos veces por semana,Para todo público,https://www.facebook.com/fundacionccmc/?locale=es_LA,https://www.instagram.com/fundacionccmc/?hl=es,https://sic.cultura.gob.mx/ficha.php?table=centro_cultural&table_id=2097,Activo
POINT(-99.182102316664 19.335815773801),98,"Centro Universitario Cultural, A. C.","-99,18210232","19,33581577",Presencial en un lugar fijo,Institución educativa privada,1962,Formar públicos cinematográficos,Semanalmente,Comunidades específicas,https://www.cuc.org.mx/,https://www.instagram.com/cucultura/,https://twitter.com/CUCultura,Activo
POINT(-99.1338966473502 19.399379196135),342,Centro cultural Foro la Cura,"-99,13389665","19,3993792",Presencial en un lugar fijo,Independiente,2013,Garantizar el ejercicio de los derechos culturales,Semanalmente,Para todo público,https://www.facebook.com/lacura.foro/,Sin información,Sin información,Activo
POINT(-99.1462896859735 19.4370298251757),72,Centro cultural José Martí ,"-99,14628969","19,43702983",Presencial en un lugar fijo,Dependencia del Gobierno de la CDMX,2018,Promover el cine,Dos veces por semana,Adultos mayores,https://www.facebook.com/CineJoseMarti/,https://www.instagram.com/centro_josemarti/,https://twitter.com/culturalmarti?lang=es,Activo
POINT(-99.1619151743337 19.4238829187182),74,Centro cultural Xavier Villaurrutia ,"-99,16191517","19,42388292",Presencial en un lugar fijo,Dependencia del Gobierno de la CDMX,2023,Garantizar el ejercicio de los derechos culturales,Semanalmente,Comunidades específicas,https://www.facebook.com/xavier.villaurrutia.3?mibextid=ZbWKwL,Sin información,Sin información,Activo
POINT(-99.1830568 19.2742034),256,Centro de Artes y Oficios Mesa de los Hornos  ,"-99,1830568","19,2742034",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/caoapie,Sin información,https://www.tlalpan.cdmx.gob.mx/centros-cao/?fbclid=IwAR0M29tzQFCbDIje1l8ujQXVqIxYo49eqbFa4vSJby_vVkdor_mxs5RlWcE,Activo
POINT(-99.1591065575523 19.2343968582729),255,Centro de Artes y Oficios de los Pueblos,"-99,15910656","19,23439686",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/caoapie,Sin información,https://www.tlalpan.cdmx.gob.mx/centros-cao/?fbclid=IwAR0M29tzQFCbDIje1l8ujQXVqIxYo49eqbFa4vSJby_vVkdor_mxs5RlWcE,Activo
POINT(-99.2228533 19.2755019),254,Centro de Artes y Oficios del Ajusco Medio ,"-99,2228533","19,2755019",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/caoapie,Sin información,https://www.tlalpan.cdmx.gob.mx/centros-cao/?fbclid=IwAR0M29tzQFCbDIje1l8ujQXVqIxYo49eqbFa4vSJby_vVkdor_mxs5RlWcE,Activo
POINT(-99.1885404 19.3762214),121,Centro de Educación Continua Adultos Mayores Mixcoac,"-99,1885404","19,3762214",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Adultos mayores,Sin información,Sin información,Sin información,Activo
POINT(-99.127525 19.2346199),286,Centro de Readaptación Social (Sur),"-99,127525","19,2346199",Presencial en un lugar fijo,Dependencia del Gobierno de la CDMX,Sin información,Sin información,Sin información,Comunidades específicas,Sin información,Sin información,Sin información,Inactivo
POINT(-99.1732310766855 19.2676866310714),233,Ciberescuela San Pedro Mártir,"-99,17323108","19,26768663",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Semanalmente,Para todo público,https://www.facebook.com/cibersanpedro,Sin información,Sin información,Activo
POINT(-99.1320170916921 19.4358332520533),157,Ciclo de Cine- Debate. El Colegio Nacional,"-99,13201709","19,43583325",Presencial en un lugar fijo,Dependencia de Gobierno Federal,2016,Garantizar el ejercicio de los derechos culturales,Mensualmente,Para todo público,https://www.facebook.com/ColegioNacional.mx/,Sin información,https://colnal.mx/institucion/,Activo
POINT(-99.1313185 19.4519111),151,Ciclo de cine en el Museo Indígena del INPI,"-99,1313185","19,4519111",Presencial en un lugar fijo,Dependencia de Gobierno Federal,2019,Reflexionar sobre temáticas diversas a través del cine,Dos veces por semana,Para todo público,https://www.facebook.com/MiMuseoIndigena,Sin información,https://www.inpi.gob.mx/museoindigena/?fbclid=IwAR0CmqNN3FMpRVJ-h_AhzLgr3i7hViGiQAF37lIoFbbgr53EpqQNjRA7qEk,Activo
POINT(-99.1548072232497 19.3968975146655),113,Ciclos de cine de Chapata Vive Café,"-99,15480722","19,39689751",Presencial en un lugar fijo,Independiente,2016,Formar comunidad por medio del cine,Semanalmente,Para todo público,https://www.facebook.com/chapatavivecafe/,https://www.instagram.com/chapatavive_cafe/,Sin información,Activo
POINT(-99.2344318828678 19.3048176750614),217,"Cine Club ""El Águila""","-99,23443188","19,30481768",Presencial en un lugar fijo,Alcaldía,Sin información,Garantizar el ejercicio de los derechos culturales,Semanalmente,Para todo público,fijo: 56452963 Celular: 5510506617,Sin información,Sin información,Activo
POINT(-99.144297 19.433207),306,Cine Club Atlántico,"-99,144297","19,433207",Presencial en un lugar fijo,Independiente,Sin información,Sin información,Sin información,Para todo público,https://www.facebook.com/Clubatlanticocentro,https://www.instagram.com/clubatlanticomx/,Sin información,Inactivo
POINT(-99.1027622626967 19.3002955323732),4,Cine Club Audiencia Soñada,"-99,10276226","19,30029553",Presencial en un lugar fijo,Institución educativa pública,2014,Formar públicos cinematográficos,Trimestralmente,Para todo público,Sin información,Sin información,https://www3.xoc.uam.mx/eventos/2022/cine-club-audiencia-sonada-/-vuelven,Activo
POINT(-99.0567259143711 19.32381602093),201,Cine Club CODECO Chavos Banda,"-99,05672591","19,32381602",Presencial en un lugar fijo,Comunitario,2017,Promover el cine mexicano,Semanalmente,Para todo público,https://www.facebook.com/ccdchavosbanda,Sin información,http://www.codeco-ojr.com/?fbclid=IwAR0KEk6-0zhM0rXepwUtFFk_uVT1dI3i3QkP1AxCYG17srsgGGsKRYe45cc,Activo
POINT(-99.0734765473513 19.3566451534425),85,Cine Club Casa de las Bombas ,"-99,07347655","19,35664515",Presencial en un lugar fijo,Institución educativa pública,2010,Promover el cine,Semanalmente,Para todo público,https://www.facebook.com/p/Centro-Cultural-Casa-de-las-Bombas-100048813863543/,https://www.instagram.com/centroculturalcasadelasbombas/?hl=es,http://ceu2.izt.uam.mx/index.php/secciones/centro-cultural-casa-de-las-bombas/,Activo
POINT(-99.118552190091 19.2633237325199),29,Cine Club Comunitario Madeja de Ideas,"-99,11855219","19,26332373",Itinerante,Independiente,2020,Formar públicos cinematográficos,Sin temporalidad fija,Para todo público,https://www.facebook.com/ColectivoMadejadeIdeas,Sin información,Sin información,Activo
POINT(-98.9931635180771 19.2184599352247),220,Cine Club ComunitarioMetzli,"-98,99316352","19,21845994",Presencial en un lugar fijo,Comunitario,2008,Formar públicos cinematográficos,Quincenalmente,Para todo público,https://www.facebook.com/metztlicineycafe/about,Sin información,https://www.facebook.com/arisbekarina.cedillorenteria,Activo
POINT(-99.1720656699066 19.4161871511649),155,Cine Club Condesa (es el mismo que cineclub Casa Negra?),"-99,17206567","19,41618715",Presencial en un lugar fijo,Independiente,2006,Sin información,Semanalmente,Comunidades específicas,https://www.facebook.com/CineclubCondesadf/,Sin información,https://cineclubcondesadf.wordpress.com/?fbclid=IwAR1p43wCfSVGYUyav-lLWGYHfnrxZ2f3w0P9lfzk96PPupiIt85mI295GGY,Activo
POINT(-99.1897902690001 19.3453485065636),103,Cine Club El Carmen en Familia ,"-99,18979027","19,34534851",Presencial en un lugar fijo,Dependencia de Gobierno Federal,2019,Formar públicos cinematográficos,Dos veces por semana,Comunidades específicas,https://www.facebook.com/MuseoDeElCarmen/,Sin información,https://elcarmen.inah.gob.mx,Activo
,330,Cine Club Indigente Copal,,,Itinerante,Independiente,2017,Formar públicos cinematográficos,Sin temporalidad fija,Para todo público,https://www.instagram.com/amerikecdmx/?hl=es,Sin información,Sin información,Activo
POINT(-99.1734808152356 19.2593856636878),7,Cine Club Indigente Copal,"-99,17348082","19,25938566",Itinerante,Independiente,2017,Formar comunidad por medio del cine,Sin temporalidad fija,Para todo público,https://www.facebook.com/copal20/,Sin información,Sin información,Activo
POINT(-99.1550175845889 19.4233159114203),173,Cine Club Itinerante JADEvolucion-arte,"-99,15501758","19,42331591",Itinerante,Comunitario,2013,Promover el cine mexicano,Semanalmente,Para todo público,https://www.facebook.com/JadevolucionarteAC,Sin información,Sin información,Activo
POINT(-99.1533416248242 19.4200661508265),167,Cine Club La Galera,"-99,15334162","19,42006615",Sin información,Independiente,Sin información,Sin información,Semanalmente,Comunidades específicas,https://www.facebook.com/galeragaleramx,Sin información,Sin información,Activo
POINT(-99.1964293008899 19.4294286889992),211,Cine Club Mandela,"-99,1964293","19,42942869",Presencial en un lugar fijo,Alcaldía,Sin información,Promover el cine,Mensualmente,Para todo público,Sin información,Sin información,Sin información,Activo
POINT(-98.9952482994899 19.2213321752624),219,Cine Club Olla de Piedra,"-98,9952483","19,22133218",Presencial en un lugar fijo,Alcaldía,2005,Formar públicos cinematográficos,Dos veces por semana,Para todo público,https://www.facebook.com/olladepiedratecomitl,https://www.instagram.com/olladepiedra/?fbclid=IwAR2mwyPf53ex2bM-HyOH58G684N2I2Dgzxe87rCeKfe7nI38sk40FuTl2uI,Sin información,Activo
POINT(-99.1545689305729 19.436379295446),58,Cine Club Revolución ,"-99,15456893","19,4363793",Mixto,Dependencia del Gobierno de la CDMX,2017,Promover el cine,Semanalmente,Para todo público,https://www.facebook.com/MNRevolucion/,https://www.instagram.com/museorevolucion/?hl=es,https://twitter.com/museorevolucion?lang=es,Activo
POINT(-99.1696613002616 19.4488764779393),214,Cine Club Rosario Castellanos,"-99,1696613","19,44887648",Presencial en un lugar fijo,Institución educativa pública,2020,Reflexionar sobre temáticas diversas a través del cine,Quincenalmente,Adolescentes,Sin información,Sin información,Sin información,Activo
POINT(-98.9685973450387 19.3090877203573),229,Cine Club Santa (Centro Cultural Santa Catarina),"-98,96859735","19,30908772",Presencial en un lugar fijo,Alcaldía,2019,Garantizar el ejercicio de los derechos culturales,Dos veces por semana,Para todo público,https://www.facebook.com/profile.php?id=100064422170842,Sin información,Sin información,Activo
POINT(-99.1462746338571 19.4365097301432),345,Cine Club Santa Rosa,"-99,14627463","19,43650973",Presencial en un lugar fijo,Sin información,2023,Promover el cine,Sin información,Para todo público,https://www.facebook.com/cineclubsantarosa,Sin información,Sin información,Activo
POINT(-99.1710264933844 19.3092698655968),5,Cine Club Villa Panamericana,"-99,17102649","19,30926987",Presencial en un lugar fijo,Comunitario,2022,Formar comunidad por medio del cine,Fines de semana,Para todo público,Sin información,Sin información,ceciliapaz2012@gmail.com,Activo
POINT(-99.1636055594111 19.2353781199231),9,Cine Club Xicalco,"-99,16360556","19,23537812",Itinerante,Independiente,2011,Garantizar el ejercicio de los derechos culturales,Quincenalmente,Para todo público,Sin información,https://www.instagram.com/ccxicalco/,Sin información,Activo
POINT(-99.2411903430619 19.3049281646624),218,Cine Comunitario ,"-99,24119034","19,30492816",Presencial en un lugar fijo,Alcaldía,2019,Garantizar el ejercicio de los derechos culturales,Semanalmente,Para todo público,Sin información,Sin información,https://mcontreras.gob.mx/,Activo
